osm_id,voltage_kv,voltage_tier,cables,circuits,operator,name,num_nodes,length_km
1148711043,115.0,115-229 kV,3,,Eversource,Beacon Falls - Indian Well - Pootatick 115kV transmission line,5,0.94
1148716718,115.0,115-229 kV,3,,Eversource,South Naugatuck - Devon 115kV transmission line,2,0.04
1148716719,115.0,115-229 kV,3,,Eversource,South Naugatuck - Devon 115kV transmission line,3,0.17
1148716720,115.0,115-229 kV,3,,Eversource,Oxford - Beacon Falls 115kV transmission line,2,0.05
1148716721,115.0,115-229 kV,3,,Eversource,Oxford - Beacon Falls 115kV transmission line,3,0.18
1148716722,115.0,115-229 kV,3,,Eversource,Beacon Falls - Indian Well - Pootatick 115kV transmission line,3,0.21
1148716723,115.0,115-229 kV,3,,Eversource,Towantic - South Naugatuck 115kV transmissio line,3,0.23
1148716724,115.0,115-229 kV,12,,Eversource,Towantic - Oxford - South Naugatuck - Beacon Falls - Indian Well - Pootatick - Devon 115kV transmission lines,2,0.19
1148716725,115.0,115-229 kV,3,,Eversource,Beacon Falls - Indian Well - Pootatick 115kV transmission line,3,0.32
1148716726,115.0,115-229 kV,3,,Eversource,Oxford - Beacon Falls 115kV transmission line,3,0.31
1148716727,115.0,115-229 kV,6,,Eversource,Towantic - South Naugatuck - Devon 115kV transmission lines,10,1.79
1148721098,115.0,115-229 kV,3,,Eversource,South Naugatuck - Devon 115kV transmission line,28,4.39
1148721099,115.0,115-229 kV,6,,Eversource,Towantic - Oxford - South Naugatuck - Beacon Hill 115kV transmission lines,5,0.88
1148721100,115.0,115-229 kV,3,,Eversource,Oxford - Beacon Hill 115kV transmission line,3,0.19
1148721101,115.0,115-229 kV,6,,Eversource,Towantic - South Naugatuck 115kV transmission line,4,0.69
1148721102,115.0,115-229 kV,3,,Eversource,Towantic - Oxford 115kV transmission line,5,0.46
1148721103,115.0,115-229 kV,6,,Eversource,Towantic - Oxford - South Naugatuck 115kV transmission lines,7,1.53
1148721104,115.0,115-229 kV,3,,Eversource,Towantic - Oxford 115kV transmission line,2,0.08
1148721105,115.0,115-229 kV,3,,Eversource,Towantic - South Naugatuck 115kV transmission line,2,0.08
1148721108,115.0,115-229 kV,3,,Eversource,Bunker Hill - Baldwin - Towantic 115kV transmission line,3,0.23
1148721109,115.0,115-229 kV,3,,Eversource,Bunker Hill - Towantic 115kV transmission line,3,0.19
1148925618,115.0,115-229 kV,6,,Eversource,Bunker Hill - Baldwin - Towantic 115kV transmission lines,7,1.16
1148925619,115.0,115-229 kV,3,,Eversource,Bunker Hill - Baldwin - Towantic 115kV transmission line,3,0.33
1148925620,115.0,115-229 kV,3,,Eversource,Bunker Hill - Towantic 115kV transmission line,3,0.33
1148925621,115.0,115-229 kV,6,,Eversource,Bunker Hill - Baldwin - Towantic 115kV transmission lines,8,1.36
1148925622,115.0,115-229 kV,3,,Eversource,Bunker Hill - Baldwin - Towantic 115kV transmission line,3,0.26
1148925623,115.0,115-229 kV,3,,Eversource,Bunker Hill - Towantic 115kV transmission line,3,0.26
1148925624,115.0,115-229 kV,6,2,Eversource,Bunker Hill - Baldwin - Towantic 115kV transmission lines,9,1.43
1148925625,115.0,115-229 kV,3,,Eversource,Bunker Hill - Baldwin - Towantic 115kV transmission line,4,0.28
