GEN UID,Bus ID,Unit Group,Unit Type,Fuel,PMin MW,PMax MW,Min Down Time Hr,Min Up Time Hr,Ramp Rate MW/Min,Start Time Cold Hr,Start Time Warm Hr,Start Time Hot Hr,Start Heat Cold MBTU,Start Heat Warm MBTU,Start Heat Hot MBTU,Fuel Price $/MMBTU,Fixed Cost($/hr),Output_pct_0,Output_pct_1,Output_pct_2,HR_avg_0,HR_incr_1,HR_incr_2
EIA_88_1,354,H_88,Hydro,Hydro,0.0,1.8,0,0,0.36,0,0,0,0,0,0,0.0,0.9,0.0,0.0,1.0,0.0,5.0,5.0
EIA_88_2,354,H_88,Hydro,Hydro,0.0,1.8,0,0,0.36,0,0,0,0,0,0,0.0,0.9,0.0,0.0,1.0,0.0,5.0,5.0
EIA_579_1,537,H_579,Hydro,Hydro,0.0,3.2,0,0,0.64,0,0,0,0,0,0,0.0,1.6,0.0,0.0,1.0,0.0,5.0,5.0
EIA_625_1,373,H_625,Hydro,Hydro,0.0,9.2,0,0,1.84,0,0,0,0,0,0,0.0,4.6,0.0,0.0,1.0,0.0,5.0,5.0
EIA_625_2,373,H_625,Hydro,Hydro,0.0,9.2,0,0,1.84,0,0,0,0,0,0,0.0,4.6,0.0,0.0,1.0,0.0,5.0,5.0
EIA_808_1,189,H_808,Hydro,Hydro,0.0,4.5,0,0,0.9,0,0,0,0,0,0,0.0,2.25,0.0,0.0,1.0,0.0,5.0,5.0
EIA_808_2,189,H_808,Hydro,Hydro,0.0,4.5,0,0,0.9,0,0,0,0,0,0,0.0,2.25,0.0,0.0,1.0,0.0,5.0,5.0
EIA_2480_1,643,G_2480,Gas,Gas,20.4,68.0,2,2,3.4,4,2,1,30,15,8,3.5,34.0,0.0,0.3,1.0,0.0,35.0,35.0
EIA_2480_2,643,G_2480,Gas,Gas,19.71,65.7,2,2,3.29,4,2,1,30,15,8,3.5,32.85,0.0,0.3,1.0,0.0,35.0,35.0
EIA_2480_3,643,G_2480,Gas,Gas,41.31,137.7,2,2,6.88,4,2,1,30,15,8,3.5,68.85,0.0,0.3,1.0,0.0,35.0,35.0
EIA_2480_4,643,G_2480,Gas,Gas,67.77,225.9,2,2,11.3,4,2,1,30,15,8,3.5,112.95,0.0,0.3,1.0,0.0,35.0,35.0
EIA_2481_1,537,H_2481,Hydro,Hydro,0.0,2.4,0,0,0.48,0,0,0,0,0,0,0.0,1.2,0.0,0.0,1.0,0.0,5.0,5.0
EIA_2481_2,537,H_2481,Hydro,Hydro,0.0,2.4,0,0,0.48,0,0,0,0,0,0,0.0,1.2,0.0,0.0,1.0,0.0,5.0,5.0
EIA_2483_H1,55,H_2483,Hydro,Hydro,0.0,22.0,0,0,4.4,0,0,0,0,0,0,0.0,11.0,0.0,0.0,1.0,0.0,5.0,5.0
EIA_2485_GT1,360,O_2485,Oil,Oil,3.62,18.1,1,1,1.81,2,1,0,10,5,2,12.0,9.05,0.0,0.2,1.0,0.0,80.0,80.0
