timestamp,zone,lmp,date
2024-06-17T23:55:12,LZ_WEST,5.15,2024-06-17
2024-06-17T23:50:13,LZ_WEST,1.69,2024-06-17
2024-06-17T23:45:12,LZ_WEST,5.13,2024-06-17
2024-06-17T23:40:13,LZ_WEST,5.16,2024-06-17
2024-06-17T23:35:12,LZ_WEST,5.17,2024-06-17
2024-06-17T23:30:14,LZ_WEST,9.71,2024-06-17
2024-06-17T23:25:11,LZ_WEST,7.05,2024-06-17
2024-06-17T23:20:12,LZ_WEST,9.13,2024-06-17
2024-06-17T23:15:12,LZ_WEST,7.12,2024-06-17
2024-06-17T23:10:12,LZ_WEST,3.83,2024-06-17
2024-06-17T23:05:12,LZ_WEST,10.11,2024-06-17
2024-06-17T23:00:15,LZ_WEST,8.98,2024-06-17
2024-06-17T22:55:14,LZ_WEST,5.9,2024-06-17
2024-06-17T22:50:11,LZ_WEST,6.56,2024-06-17
2024-06-17T22:45:13,LZ_WEST,6.8,2024-06-17
2024-06-17T22:40:13,LZ_WEST,6.94,2024-06-17
2024-06-17T22:35:11,LZ_WEST,7.23,2024-06-17
2024-06-17T22:30:12,LZ_WEST,6.92,2024-06-17
2024-06-17T22:25:10,LZ_WEST,6.02,2024-06-17
2024-06-17T22:20:13,LZ_WEST,6.02,2024-06-17
2024-06-17T22:15:11,LZ_WEST,5.97,2024-06-17
2024-06-17T22:10:13,LZ_WEST,5.97,2024-06-17
2024-06-17T22:05:24,LZ_WEST,6.96,2024-06-17
2024-06-17T22:00:16,LZ_WEST,7.09,2024-06-17
2024-06-17T21:55:13,LZ_WEST,7.31,2024-06-17
2024-06-17T21:50:13,LZ_WEST,7.38,2024-06-17
2024-06-17T21:45:13,LZ_WEST,7.8,2024-06-17
2024-06-17T21:40:11,LZ_WEST,9.03,2024-06-17
2024-06-17T21:35:11,LZ_WEST,8.86,2024-06-17
2024-06-17T21:30:12,LZ_WEST,8.64,2024-06-17
2024-06-17T21:25:12,LZ_WEST,8.66,2024-06-17
2024-06-17T21:20:10,LZ_WEST,7.77,2024-06-17
2024-06-17T21:15:14,LZ_WEST,8.73,2024-06-17
2024-06-17T21:10:12,LZ_WEST,9.75,2024-06-17
2024-06-17T21:05:13,LZ_WEST,9.19,2024-06-17
2024-06-17T21:00:18,LZ_WEST,9.26,2024-06-17
2024-06-17T20:55:13,LZ_WEST,9.01,2024-06-17
2024-06-17T20:50:11,LZ_WEST,6.76,2024-06-17
2024-06-17T20:45:12,LZ_WEST,5.88,2024-06-17
2024-06-17T20:40:12,LZ_WEST,6.72,2024-06-17
2024-06-17T20:35:13,LZ_WEST,6.81,2024-06-17
2024-06-17T20:30:13,LZ_WEST,3.54,2024-06-17
2024-06-17T20:25:13,LZ_WEST,2.98,2024-06-17
2024-06-17T20:20:13,LZ_WEST,2.99,2024-06-17
2024-06-17T20:15:11,LZ_WEST,1.73,2024-06-17
2024-06-17T20:10:11,LZ_WEST,0.5,2024-06-17
2024-06-17T20:05:15,LZ_WEST,-0.14,2024-06-17
2024-06-17T20:00:14,LZ_WEST,-0.01,2024-06-17
2024-06-17T19:55:14,LZ_WEST,-0.06,2024-06-17
2024-06-17T19:50:13,LZ_WEST,-0.15,2024-06-17
2024-06-17T19:45:13,LZ_WEST,-0.19,2024-06-17
2024-06-17T19:40:12,LZ_WEST,-0.28,2024-06-17
2024-06-17T19:35:12,LZ_WEST,-0.25,2024-06-17
2024-06-17T19:30:12,LZ_WEST,-0.19,2024-06-17
2024-06-17T19:25:12,LZ_WEST,-1.19,2024-06-17
2024-06-17T19:20:12,LZ_WEST,-1.39,2024-06-17
2024-06-17T19:15:13,LZ_WEST,-0.64,2024-06-17
2024-06-17T19:10:13,LZ_WEST,-0.92,2024-06-17
2024-06-17T19:05:13,LZ_WEST,-1.29,2024-06-17
2024-06-17T19:00:18,LZ_WEST,-1.94,2024-06-17
2024-06-17T18:55:12,LZ_WEST,-1.51,2024-06-17
2024-06-17T18:50:13,LZ_WEST,-2.05,2024-06-17
2024-06-17T18:45:13,LZ_WEST,-2.04,2024-06-17
2024-06-17T18:40:13,LZ_WEST,-2.48,2024-06-17
2024-06-17T18:35:12,LZ_WEST,-2.96,2024-06-17
2024-06-17T18:30:12,LZ_WEST,-4.21,2024-06-17
2024-06-17T18:25:11,LZ_WEST,-3.76,2024-06-17
2024-06-17T18:22:49,LZ_WEST,-2.71,2024-06-17
2024-06-17T18:20:11,LZ_WEST,-2.27,2024-06-17
2024-06-17T18:15:12,LZ_WEST,-4.44,2024-06-17
2024-06-17T18:10:11,LZ_WEST,-6.23,2024-06-17
2024-06-17T18:05:14,LZ_WEST,-6.17,2024-06-17
2024-06-17T18:00:16,LZ_WEST,-4.21,2024-06-17
2024-06-17T17:55:16,LZ_WEST,-5.85,2024-06-17
2024-06-17T17:50:12,LZ_WEST,-8.68,2024-06-17
2024-06-17T17:45:12,LZ_WEST,-8.05,2024-06-17
2024-06-17T17:40:14,LZ_WEST,-3.27,2024-06-17
2024-06-17T17:38:18,LZ_WEST,-3.65,2024-06-17
2024-06-17T17:35:13,LZ_WEST,-2.65,2024-06-17
2024-06-17T17:33:53,LZ_WEST,-2.97,2024-06-17
2024-06-17T17:30:14,LZ_WEST,-3.91,2024-06-17
2024-06-17T17:25:12,LZ_WEST,-3.69,2024-06-17
2024-06-17T17:20:11,LZ_WEST,-3.5,2024-06-17
2024-06-17T17:15:12,LZ_WEST,-5.41,2024-06-17
2024-06-17T17:10:12,LZ_WEST,-6.87,2024-06-17
2024-06-17T17:05:13,LZ_WEST,-3.62,2024-06-17
2024-06-17T17:00:16,LZ_WEST,-3.65,2024-06-17
2024-06-17T16:55:17,LZ_WEST,-2.78,2024-06-17
2024-06-17T16:50:13,LZ_WEST,-2.59,2024-06-17
2024-06-17T16:45:12,LZ_WEST,-2.98,2024-06-17
2024-06-17T16:40:13,LZ_WEST,-5.13,2024-06-17
2024-06-17T16:35:12,LZ_WEST,-3.81,2024-06-17
2024-06-17T16:30:14,LZ_WEST,-3.69,2024-06-17
2024-06-17T16:25:14,LZ_WEST,-6.3,2024-06-17
2024-06-17T16:20:13,LZ_WEST,-3.1,2024-06-17
2024-06-17T16:15:14,LZ_WEST,-4.65,2024-06-17
2024-06-17T16:10:12,LZ_WEST,-2.55,2024-06-17
2024-06-17T16:05:13,LZ_WEST,-2.59,2024-06-17
2024-06-17T16:00:16,LZ_WEST,-3.02,2024-06-17
2024-06-17T15:55:14,LZ_WEST,-3.1,2024-06-17
2024-06-17T15:50:12,LZ_WEST,-2.91,2024-06-17
2024-06-17T15:45:12,LZ_WEST,-2.87,2024-06-17
2024-06-17T15:40:11,LZ_WEST,-2.86,2024-06-17
2024-06-17T15:35:11,LZ_WEST,-2.72,2024-06-17
2024-06-17T15:30:13,LZ_WEST,-2.78,2024-06-17
2024-06-17T15:25:13,LZ_WEST,-2.77,2024-06-17
2024-06-17T15:20:11,LZ_WEST,-2.39,2024-06-17
2024-06-17T15:15:13,LZ_WEST,-2.45,2024-06-17
2024-06-17T15:10:12,LZ_WEST,-2.31,2024-06-17
2024-06-17T15:05:12,LZ_WEST,-2.81,2024-06-17
2024-06-17T15:00:15,LZ_WEST,-2.62,2024-06-17
2024-06-17T14:55:14,LZ_WEST,-2.51,2024-06-17
2024-06-17T14:50:13,LZ_WEST,-2.19,2024-06-17
2024-06-17T14:45:12,LZ_WEST,-2.13,2024-06-17
2024-06-17T14:40:12,LZ_WEST,-2.54,2024-06-17
2024-06-17T14:35:11,LZ_WEST,-2.08,2024-06-17
2024-06-17T14:30:13,LZ_WEST,-1.7,2024-06-17
2024-06-17T14:25:12,LZ_WEST,-1.57,2024-06-17
2024-06-17T14:20:12,LZ_WEST,-2.04,2024-06-17
2024-06-17T14:15:12,LZ_WEST,-2.27,2024-06-17
2024-06-17T14:10:14,LZ_WEST,-1.98,2024-06-17
2024-06-17T14:05:12,LZ_WEST,-2.19,2024-06-17
2024-06-17T14:00:18,LZ_WEST,-2.25,2024-06-17
2024-06-17T13:55:16,LZ_WEST,-2.26,2024-06-17
2024-06-17T13:50:11,LZ_WEST,-2.29,2024-06-17
2024-06-17T13:45:12,LZ_WEST,-2.62,2024-06-17
2024-06-17T13:40:12,LZ_WEST,-2.56,2024-06-17
2024-06-17T13:35:11,LZ_WEST,-2.33,2024-06-17
