from_sub,to_sub,voltage_kv,length_km,category,circuits,X_pu,MVAmax,intersects
220152,220155,115,0.011119492664429959,mst,1,6.726347169409428e-05,174,False
190173,190179,115,0.011119492664825002,mst,1,6.726347169648395e-05,174,False
160166,160265,115,0.08984632385438086,mst,1,0.0005434938304990903,174,False
180038,180127,115,0.12763330288716707,mst,1,0.0007720729097144321,174,False
200012,200044,115,0.1786279585399461,mst,1,0.0010805471972170652,174,False
180010,180016,115,0.20123374606670688,mst,1,0.0012172929818780002,174,False
140354,140330,115,0.25133989277484736,mst,1,0.0015203925460860336,174,False
230235,230116,115,0.31413872620036576,mst,1,0.0019002720677526853,174,False
230215,230261,115,0.3282825585202616,mst,1,0.0019858302216726603,174,False
160165,160235,115,0.4625925917882923,mst,1,0.002798291670552997,174,False
240115,240245,115,0.48164657258432175,mst,1,0.0029135520458786947,174,False
250329,250003,115,0.5210371408839721,mst,1,0.0031518314760467124,174,False
190094,190095,115,0.5459964531885775,mst,1,0.0033028140835603933,174,False
170494,170485,115,0.5893650249363256,mst,1,0.0035651570506545216,174,False
160166,160292,115,0.5911313183763944,mst,1,0.0035758416234488886,174,False
250137,250311,115,0.6191539094736106,mst,1,0.0037453544618441478,174,False
220205,220235,115,0.6253962261835447,mst,1,0.0037831151678399686,174,False
150362,150450,115,0.6368907600589525,mst,1,0.0038526473198273125,174,False
130333,130314,115,0.6601100481206121,mst,1,0.0039931042608430225,174,False
200125,200130,115,0.767504506825134,mst,1,0.004642749379660546,174,False
160160,160150,115,0.7948341065298407,mst,1,0.004808070209632307,174,False
160140,160227,115,0.8189895676375444,mst,1,0.004954190201210099,174,False
160138,160229,115,0.8313041789644166,mst,1,0.005028683124170383,174,False
220087,220079,115,0.8945591321990617,mst,1,0.005411321782678635,174,False
210304,210355,115,0.9188039684012118,mst,1,0.005557982417549863,174,False
170570,170572,115,0.9295824733671817,mst,1,0.005623183203733425,174,False
180104,180125,115,0.9364190542638582,mst,1,0.005664538702541297,174,False
110125,111411,115,0.9387340073273122,mst,1,0.005678542199333458,174,False
120065,120466,115,0.9465907777692827,mst,1,0.005726068977054262,174,False
130328,130308,115,0.9591397212017119,mst,1,0.005801979409915838,174,False
111381,111338,115,0.9797098924622345,mst,1,0.0059264114477866735,174,False
220116,220115,115,0.9991065496385446,mst,1,0.0060437447237114235,174,False
230116,230212,115,1.4728701388782075,delaunay,1,0.00890961142610636,174,False
180125,180122,115,1.506049490298967,delaunay,1,0.009110318277800936,174,False
180008,180030,115,1.581026107765899,delaunay,1,0.009563863033744568,174,False
111285,111328,115,1.7644038491833018,delaunay,1,0.010673142376912224,174,False
200129,200125,115,1.8579417674866539,delaunay,1,0.011238967213529853,174,False
160165,160137,115,2.031242490840427,delaunay,1,0.012287289169545117,174,False
230236,230215,115,2.0337504315857533,delaunay,1,0.012302460077645391,174,False
130319,130305,115,2.042627347158469,delaunay,1,0.012356157865608886,174,False
160235,160211,115,2.33853583206123,delaunay,1,0.014146152481277763,174,False
250341,250335,115,2.4109538839555933,delaunay,1,0.014584220091980904,174,False
170494,170495,115,2.47303084168473,delaunay,1,0.014959732879756401,174,False
160225,160296,115,2.513182687747711,delaunay,1,0.015202617392802788,174,False
200099,200100,115,2.5183959101567717,delaunay,1,0.015234152953689356,174,False
220100,220101,115,2.5994695610297542,delaunay,1,0.015724579575227247,174,False
230224,230289,115,2.614738482505853,delaunay,1,0.01581694356147208,174,False
180016,180110,115,2.640573349591032,delaunay,1,0.01597322253060738,174,False
250221,250220,115,2.6988658188772363,delaunay,1,0.016325842382622222,174,False
200099,200112,115,2.703866525690993,delaunay,1,0.016356092404936066,174,False
180005,180030,115,2.7121994072024305,delaunay,1,0.016406499249617727,174,False
220111,220113,115,2.717058819456382,delaunay,1,0.01643589456003861,174,False
200113,200104,115,2.7277439931440792,delaunay,1,0.016500530771381954,174,False
200020,200053,115,2.7339997075946263,delaunay,1,0.01653837252231154,174,False
200103,200106,115,2.749909958237591,delaunay,1,0.0166346160044618,174,False
200136,200122,115,2.7654398393227635,delaunay,1,0.0167285585743532,174,False
230216,230289,115,2.824422008334761,delaunay,1,0.017085350523008008,174,False
180005,180008,115,2.8728618912602046,neighbor_2,1,0.017378370608757382,174,False
240030,240023,115,2.8752078400243097,delaunay,1,0.017392561603171628,174,False
230220,230224,115,2.880788909981191,delaunay,1,0.017426322328808717,174,False
170451,170452,115,2.890739280314125,delaunay,1,0.017486513604924765,174,False
220021,220205,115,2.900623339141749,delaunay,1,0.01754630375284234,174,False
200101,200116,115,2.9011303478571095,delaunay,1,0.017549370724277414,174,False
230215,230219,115,2.9520422282651504,delaunay,1,0.0178573442919631,174,False
240186,240084,115,1.0178985919687311,mst,1,0.0061574205941397715,174,False
120110,120092,115,1.023300871297724,mst,1,0.006190099788568464,174,False
200123,200135,115,1.027158172780457,mst,1,0.0062134331812806485,174,False
230001,230002,115,1.0499295218348488,mst,1,0.006351180472346911,174,False
250035,250286,115,1.055067627435555,mst,1,0.006382261640441921,174,False
170491,170502,115,1.0715143415931017,mst,1,0.006481750270506475,174,False
200112,200116,115,1.0780212363158865,mst,1,0.006521111448413681,174,False
250320,250329,115,1.1076058342643802,mst,1,0.006700073099519879,174,False
250344,250335,115,1.1272069898789665,mst,1,0.006818643417037228,174,False
250216,250012,115,1.1403662140433664,mst,1,0.006898245529184825,174,False
240160,240170,115,1.1687307555552888,mst,1,0.007069826876704962,174,False
250259,250202,115,1.2060346057155438,mst,1,0.007295483437220681,174,False
111285,111359,115,1.21186754357291,mst,1,0.007330767749401346,174,False
140034,140373,115,1.2144396668745587,mst,1,0.0073463269073697325,174,False
210284,210044,115,1.2165505222405757,mst,1,0.007359095786710477,174,False
250303,250301,115,1.2291776277829458,mst,1,0.007435479033847687,174,False
200098,200155,115,1.2519651696283238,mst,1,0.0075733242775248314,174,False
250243,250115,115,1.256880609977716,mst,1,0.0076030585102621765,174,False
130305,130311,115,1.2706147183790333,mst,1,0.007686138183011166,174,False
110135,110138,115,1.2815619199776378,mst,1,0.007752359440318414,174,False
230140,230126,115,1.2928474031325239,mst,1,0.007820627013278028,174,False
240103,240292,115,1.2948369724503959,mst,1,0.007832662215200882,174,False
160038,160272,115,1.3257202799669257,mst,1,0.008019479954431308,174,False
120158,120157,115,1.34312730326627,mst,1,0.008124777637905605,174,False
170558,170543,115,1.3442922752043882,mst,1,0.008131824727134295,174,False
