transformer_id,substation_id,from_bus_id,to_bus_id,from_kv,to_kv,rating_mva
1,4,4,5,345,115,221.18880000000001
2,9,10,11,345,115,215.8512
3,12,14,15,345,115,442.74959999999993
4,16,19,20,345,115,181.0584
5,21,25,26,345,115,143.1048
6,23,28,29,345,115,155.5152
7,28,34,35,345,115,246.3024
8,32,39,40,345,115,177.68880000000001
9,33,41,42,345,115,161.7168
10,36,45,46,345,115,175.87199999999999
11,40,50,51,345,115,316.32
12,44,55,56,345,115,191.5104
13,47,59,60,345,115,195.2592
14,51,64,65,345,115,196.8504
15,52,66,67,345,115,252.06
16,59,74,75,345,115,50.0
17,84,100,101,345,115,50.0
18,150,167,168,345,115,114.3336
19,152,170,171,345,115,196.5288
20,154,173,174,345,115,180.6096
21,158,178,179,345,115,187.4568
22,163,184,185,345,115,201.6072
23,165,187,188,345,115,231.5904
24,166,189,190,345,115,228.53040000000001
25,167,191,192,345,115,155.48399999999998
26,174,199,200,345,115,213.864
27,179,205,206,345,115,587.4431999999999
28,181,208,209,345,115,183.66959999999997
29,183,211,212,345,115,201.8112
30,187,216,217,345,115,227.98080000000002
31,190,220,221,345,115,205.93200000000002
32,193,224,225,345,115,193.9008
33,195,227,228,345,115,227.94480000000001
34,204,237,238,345,115,231.79680000000002
35,213,247,248,345,115,166.7424
36,217,252,253,345,115,226.0776
37,219,255,256,345,115,108.3264
38,223,260,261,345,115,207.9936
39,227,265,266,345,115,175.5624
40,228,267,268,345,115,136.0344
41,239,279,280,345,115,189.4992
42,240,281,282,345,115,214.716
43,241,283,284,345,115,208.5
44,244,287,288,345,115,209.08319999999998
45,245,289,290,345,115,206.5248
46,250,295,296,345,115,179.93280000000001
47,251,297,298,345,115,155.7696
48,254,301,302,345,115,70.22879999999999
49,256,304,305,345,115,221.964
50,262,311,312,345,115,151.632
51,273,323,324,345,115,145.4424
52,322,373,374,345,115,66.2136
53,323,375,376,345,115,50.0
54,329,382,383,345,115,77.5536
55,330,384,385,345,115,50.0
56,336,391,392,345,115,230.2944
57,345,401,402,345,115,50.0
58,351,408,409,345,115,230.75519999999997
59,381,439,440,345,115,692.1192
60,387,446,447,345,115,192.74640000000002
61,397,457,458,345,115,211.07039999999998
62,399,460,461,345,115,108.144
63,414,476,477,345,115,50.0
64,425,488,489,345,115,714.1319999999998
65,429,493,494,345,115,215.39039999999997
66,430,495,496,345,115,50.0
67,440,506,507,345,115,95.2992
68,442,509,510,345,115,202.56
69,444,512,513,345,115,1003.2143999999998
70,449,518,519,345,115,108.5112
71,455,525,526,345,115,50.0
72,480,551,552,345,115,50.0
73,498,570,571,345,115,156.31199999999998
74,513,586,587,345,115,196.0296
75,515,589,590,345,115,152.0376
76,518,593,594,345,115,204.92639999999997
77,536,612,613,345,115,50.0
78,544,621,622,345,115,50.0
79,551,629,630,345,115,50.0
80,557,636,637,345,115,162.804
81,558,638,639,345,115,50.0
82,561,642,643,345,115,54.6408
83,574,656,657,345,115,814.476
84,579,662,663,345,115,50.0
85,582,666,667,345,115,150.3216
86,594,679,680,345,115,50.0
87,599,685,686,345,115,59.426399999999994
88,601,688,689,345,115,2425.4399999999996
89,602,690,691,345,115,2298.96
90,603,692,693,345,115,2103.48
91,605,695,696,345,115,704.1600000000001
92,606,697,698,345,115,582.1199999999999
93,608,700,701,345,115,223.08
94,609,702,703,345,115,213.12000000000003
