STORAGE UID,Bus ID,Discharge Rate MW,Charge Rate MW,Energy Capacity MWh,Initial SOC MWh,Charge Efficiency,Discharge Efficiency,_zone,_mwh_source
TV_BESS,1242,10.0,10.0,20.0,10.0,0.96,0.96,HOUSTON,fallback_2h
ALP_BESS_BESS1,2398,103.1,103.1,412.4,206.2,0.96,0.96,WEST,fallback_4h
ANCHOR_BESS1,2432,35.2,35.2,70.4,35.2,0.96,0.96,WEST,fallback_2h
ANCHOR_BESS2,2432,36.3,36.3,72.6,36.3,0.96,0.96,WEST,fallback_2h
ANDMDSLR_BESS1,2037,82.0,82.0,164.0,82.0,0.96,0.96,WEST,fallback_2h
ANDMDSLR_BESS2,2037,78.3,78.3,156.6,78.3,0.96,0.96,WEST,fallback_2h
ANEM_ESS_BESS1,298,200.9,200.9,400.0,200.0,0.96,0.96,SOUTH,eia860
ANG_SLR_BESS1,1625,103.0,103.0,412.0,206.0,0.96,0.96,WEST,fallback_4h
AE_BESS,2143,9.9,9.9,9.9,4.95,0.96,0.96,COASTAL,eia860
ANOL_ESS_BES1,2394,247.1,247.1,988.4,494.2,0.96,0.96,NORTH,fallback_4h
ANTL_ESS_BES1,894,72.4,72.4,144.8,72.4,0.96,0.96,WEST,fallback_2h
AVIL_ESS_BES1,3,160.7,160.7,642.8,321.4,0.96,0.96,WEST,fallback_4h
AZURE_BESS1,548,77.6,77.6,80.5,40.25,0.96,0.96,WEST,eia860
BATCAVE_BES1,1465,100.5,100.5,110.0,55.0,0.96,0.96,SOUTH,eia860
BAY_CITY_BESS,1209,10.0,10.0,20.0,10.0,0.96,0.96,COASTAL,fallback_2h
BELD_BELU1,3,9.2,9.2,18.4,9.2,0.96,0.96,WEST,fallback_2h
BLACKSPR_UNIT1,1904,120.7,120.7,482.8,241.4,0.96,0.96,NORTH,fallback_4h
BLVN_SLR_BESS1,672,188.2,188.2,752.8,376.4,0.96,0.96,NORTH,fallback_4h
BLUEJAY_BESS1,2260,51.6,51.6,84.5,42.25,0.96,0.96,NORTH,eia860
BLSUMMIT_BATTERY,811,30.0,30.0,60.0,30.0,0.96,0.96,WEST,fallback_2h
BCNV_ESS_BESS1,2143,150.5,150.5,602.0,301.0,0.96,0.96,COASTAL,fallback_4h
BOCO_ESS_ESS1,2037,154.0,154.0,616.0,308.0,0.96,0.96,WEST,fallback_4h
BR_ARROW_BESS1,2449,49.3,49.3,98.6,49.3,0.96,0.96,NORTH,fallback_2h
BR_ARROW_BESS2,2449,52.8,52.8,105.6,52.8,0.96,0.96,NORTH,fallback_2h
ALVIN_UNIT1,1200,10.0,10.0,9.9,4.95,0.96,0.96,COASTAL,eia860
ANGLETON_UNIT1,1169,10.0,10.0,9.9,4.95,0.96,0.96,COASTAL,eia860
BRAZORIA_UNIT1,1168,10.0,10.0,9.9,4.95,0.96,0.96,COASTAL,eia860
DKNS_ESS_BES1,2037,50.2,50.2,100.4,50.2,0.96,0.96,PANHANDLE,fallback_2h
DKNS_ESS_BES2,2037,50.2,50.2,100.4,50.2,0.96,0.96,PANHANDLE,fallback_2h
DKNS_ESS_BES3,2037,50.2,50.2,100.4,50.2,0.96,0.96,PANHANDLE,fallback_2h
DKNS_ESS_BES4,2037,50.2,50.2,100.4,50.2,0.96,0.96,PANHANDLE,fallback_2h
DICKNSON_UNIT1,1259,10.0,10.0,9.9,4.95,0.96,0.96,HOUSTON,eia860
HEIGHTTN_UNIT1,1176,10.0,10.0,9.9,4.95,0.96,0.96,HOUSTON,eia860
HYDR_ESS_BES1,3,200.8,200.8,803.2,401.6,0.96,0.96,WEST,fallback_4h
LBRA_ESS_BES1,1371,201.0,201.0,804.0,402.0,0.96,0.96,SOUTH,fallback_4h
L_463S_UNIT1,1218,10.0,10.0,20.0,10.0,0.96,0.96,SOUTH,fallback_2h
LOPENO_UNIT1,848,10.0,10.0,9.9,4.95,0.96,0.96,SOUTH,eia860
MAGNO_TN_UNIT1,1176,10.0,10.0,20.0,10.0,0.96,0.96,HOUSTON,fallback_2h
ODESW_UNIT1,1496,10.0,10.0,20.0,10.0,0.96,0.96,WEST,fallback_2h
PALE_ESS_BES1,2317,200.8,200.8,803.2,401.6,0.96,0.96,PANHANDLE,fallback_4h
PAVO_ESS_BESS1,457,87.9,87.9,175.0,87.5,0.96,0.96,WEST,eia860
PAVO_ESS_BESS2,457,87.9,87.9,175.0,87.5,0.96,0.96,WEST,eia860
PUEBLO_UNIT1,894,10.0,10.0,19.8,9.9,0.96,0.96,SOUTH,eia860
PUEBLO_UNIT2,894,10.0,10.0,19.8,9.9,0.96,0.96,SOUTH,eia860
K0_UNIT1,1371,10.0,10.0,20.0,10.0,0.96,0.96,SOUTH,fallback_2h
SWEENY_UNIT1,1167,10.0,10.0,9.9,4.95,0.96,0.96,COASTAL,eia860
TORT_ESS_BESS1,2143,50.3,50.3,100.6,50.3,0.96,0.96,COASTAL,fallback_2h
ZAPATA_UNIT1,1934,10.0,10.0,19.8,9.9,0.96,0.96,SOUTH,eia860
ZAPATA_UNIT2,1934,10.0,10.0,19.8,9.9,0.96,0.96,SOUTH,eia860
BKSL_ESS_BESS1,2037,103.3,103.3,413.2,206.6,0.96,0.96,PANHANDLE,fallback_4h
BYRDR_ES_BESS1,2143,55.2,55.2,50.0,25.0,0.96,0.96,COASTAL,eia860
CACH_ESS_BESS1,1371,205.5,205.5,822.0,411.0,0.96,0.96,SOUTH,fallback_4h
CLO_BESS1,1525,101.5,101.5,200.0,100.0,0.96,0.96,HOUSTON,eia860
CLO_BESS2,1525,101.5,101.5,200.0,100.0,0.96,0.96,HOUSTON,eia860
CAMWIND_BESS1,268,16.7,16.7,33.4,16.7,0.96,0.96,COASTAL,fallback_2h
CARN_ESS_BES1,1218,154.1,154.1,616.4,308.2,0.96,0.96,COASTAL,fallback_4h
CARRIZO_BESS1,2546,9.9,9.9,19.8,9.9,0.96,0.96,SOUTH,fallback_2h
CASL_GAP_BATTERY1,421,9.9,9.9,19.8,9.9,0.96,0.96,WEST,fallback_2h
CATARINA_BESS,2546,10.0,10.0,9.9,4.95,0.96,0.96,SOUTH,eia860
CEDRVALE_BESS,474,10.0,10.0,20.0,10.0,0.96,0.96,WEST,fallback_2h
CNTRY_BESS1,807,9.9,9.9,24.8,12.4,0.96,0.96,NORTH,eia860
CHIL_SL1_BESS1,1544,153.9,153.9,615.6,307.8,0.96,0.96,NORTH,fallback_4h
CHISMGRD_BES1,807,101.7,101.7,125.0,62.5,0.96,0.96,NORTH,eia860
CISC_BESS,2679,9.9,9.9,9.9,4.95,0.96,0.96,NORTH,eia860
CITRUSCY_BESS1,337,9.9,9.9,19.8,9.9,0.96,0.96,SOUTH,fallback_2h
X4_SWRI,1371,10.0,10.0,10.0,5.0,0.96,0.96,SOUTH,eia860
CNLY_ESS_BESS_1,2335,125.4,125.4,501.6,250.8,0.96,0.96,NORTH,fallback_4h
CONTINEN_BESS1,329,9.9,9.9,19.8,9.9,0.96,0.96,SOUTH,fallback_2h
CORALSLR_BESS1,672,48.4,48.4,96.8,48.4,0.96,0.96,NORTH,fallback_2h
