ercot_substation,lat,lon,match_source,confidence,score,matched_name,load_zone,max_voltage_kv,eia_plant_code,osm_id,propagated_from,mora_county,mora_fuel,county_validated,county_dist_km,gnis_class,gnis_county,psse_readable,hv_osm_345_id,hv_endpoint_dist_km,original_match_source,original_confidence,snap_distance_km,snap_status,snap_rule,snap_candidate_name,snap_candidate_kv
36POD,29.271,-98.456,propagated,low,0,,LZ_WEST,138.0,,,BEXAR_ES,,,,,,,,,,,,,,,,
7RNCHSLR,32.104125,-100.162375,propagated,low,0,,LZ_SOUTH,138.0,,,HOLSTEIN,,,,,,,,,,,,,,,,
89NWK,29.883214,-95.111345,propagated,low,0,,LZ_NORTH,138.0,,,CHAMON,,,,,,,,,,,,,,,,
A0,34.6675,-102.577778,propagated,low,0,,LZ_SOUTH,138.0,,,MARIAH,,,,,,,,,,,,,,,,
A3,29.280583,-98.572113,propagated,low,0,,LZ_SOUTH,138.0,,,HOWARD,,,,,,,,,,,,,,,,
A4,28.892194,-99.095033,gnis,high,94.6,Pearsall,LZ_SOUTH,138.0,,,CRIST,,,,,Populated Place,FRIO,PEARSAL,,,,,,,,,
A5,32.094466,-98.972723,propagated,low,0,,LZ_SOUTH,138.0,,,RISNGSTR,,,,,,,,,,,,,,,,
AAPIPLNC,28.985999,-95.358109,propagated,low,0,,LZ_WEST,138.0,,,DOW,,,,,,,,,,,,,,,,
AAPIPLNM,31.0,-102.5,lz_centroid,none,0,,LZ_WEST,138.0,,,,,,,,,,,,,,,,,,,
ABBOT,31.884976,-97.077711,osm,high,97.3,Abbott Substation,LZ_NORTH,69.0,,346832065,,,,,,,,,,,,,,,,,
ABBYBEND,29.271,-98.456,propagated,low,0,,LZ_NORTH,138.0,,,BEXAR_ES,,,,,,,,,,,,,,,,
ABEAST,31.593316,-100.178079,propagated,low,0,,LZ_WEST,138.0,,,MILES,,,,,,,,,,,,,,,,
ABERNATH,33.832304,-101.842949,gnis,high,95.2,Abernathy,LZ_WEST,345.0,,,RAMBLER,,,,,Populated Place,LUBBOCK,ABERNATH,,,,,,,,,
ABINDUST,32.465154,-99.811428,mora_osm,high,96.0,Abilene Industrial Park Substation,LZ_WEST,138.0,,491192957,NAVO,TAYLOR,STORAGE,,,,,,,,,,,,,,
ABLSPRRC,31.503698,-97.762643,propagated,low,0,,LZ_NORTH,138.0,,,GATESVL2,,,,,,,,,,,,,,,,
ABNTHWST,26.142247,-97.641923,propagated,low,0,,LZ_WEST,138.0,,,LA_PALMA,,,,,,,,,,,,,,,,
ABPOD,31.843422,-102.868295,propagated,low,0,,LZ_WEST,138.0,,,PHOEBE,,,,,,,,,,,,,,,,
ABPOWERS,26.191337,-97.665118,propagated,low,0,,LZ_WEST,69.0,,,E_HARRIS,,,,,,,,,,,,,,,,
ABR,33.304283,-96.986118,gnis,high,100.0,Aubrey,LZ_NORTH,138.0,,,GATESVL2,,,,,Populated Place,DENTON,AUBREY,,,,,,,,,
ABRRD,31.517,-100.6,propagated,low,0,,LZ_NORTH,138.0,,,RAMBLER,,,,,,,,,,,,,,,,
